cum_reactions,n_reagents,named_reaction,parent,reactions_added,reagents,reward,smiles,step,template_id
45,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)CCNCc1c[nH]c2ccc(F)cc12,0.9912,COc1ccc(O)c(NC2CN(CCCNCc3c[nH]c4ccc(F)cc34)C2)c1,24,139
46,1,Buchwald-Hartwig amination,COc1ccc(O)c(NC2CNC2)c1,1,NCCc1ccccc1Br,0.9889,COc1ccc(O)c(N(c2ccccc2CCN)C2CNC2)c1,25,114
47,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.9888,COc1ccc(O)c(N(CC2Cc3ccccc3CN2)C2CNC2)c1,26,139
48,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.9772,COc1ccc(O)c(N(CC(N)Cc2ccc(O)cc2)C2CNC2)c1,27,139
49,1,Reductive amination (ketone),COc1ccc(O)c(NC2CNC2)c1,1,O=C(CCl)c1ccc(Cl)c(Cl)c1,0.9714,COc1ccc(O)c(N(C2CNC2)C(CCl)c2ccc(Cl)c(Cl)c2)c1,28,74
50,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,C[C@@H](NCc1cccc(Br)c1)C(=O)O,0.9674,COc1ccc(O)c(N(CC(C)NCc2cccc(Br)c2)C2CNC2)c1,29,139
51,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,N[C@H](CNCC(=O)O)c1ccccc1,0.9647,COc1ccc(O)c(N(CCNCC(N)c2ccccc2)C2CNC2)c1,30,139
52,1,Reductive amination (ketone),COc1ccc(O)c(NC2CNC2)c1,1,N#Cc1cccc(C(=O)CBr)c1,0.962,COc1ccc(O)c(N(C2CNC2)C(CBr)c2cccc(C#N)c2)c1,31,74
53,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,Nc1ccc(C(=O)O)cc1Br,0.9514,COc1ccc(O)c(N(Cc2ccc(N)c(Br)c2)C2CNC2)c1,32,139
54,1,Reductive amination (aldehyde),COc1ccc(O)c(NC2CNC2)c1,1,O=Cc1c[nH]c2ccc(Br)cc12,0.9427,COc1ccc(O)c(N(Cc2c[nH]c3ccc(Br)cc23)C2CNC2)c1,33,70
55,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,NCCc1ccccc1N[C@@H](CO)C(=O)O,0.9399,COc1ccc(O)c(N(CC(CO)Nc2ccccc2CCN)C2CNC2)c1,34,139
56,1,Reductive amination (ketone),COc1ccc(O)c(NC2CNC2)c1,1,O=C(CCl)c1ccc(N2CC(C(=O)O)C2)cc1F,0.9277,COc1ccc(O)c(N(C2CNC2)C(CCl)c2ccc(N3CC(C(=O)O)C3)cc2F)c1,35,74
57,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)[C@H](NC1CCC1)c1ccccc1,0.9228,COc1ccc(O)c(N(CC(NC2CCC2)c2ccccc2)C2CNC2)c1,36,139
58,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=Cc1ccccc1NCCC(=O)O,0.9204,COc1ccc(O)c(N(CCCNc2ccccc2C=O)C2CNC2)c1,37,139
59,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)[C@H](NC1CCC1)c1ccccc1,0.9192,COc1ccc(O)c(NC2CN(CC(NC3CCC3)c3ccccc3)C2)c1,38,139
60,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)C1CCN1c1ccnc(F)c1,0.9163,COc1ccc(O)c(N(CC2CCN2c2ccnc(F)c2)C2CNC2)c1,39,139
61,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.8997,COc1ccc(O)c(NC2CN(CC3Cc4ccccc4CN3)C2)c1,40,139
62,1,Esterification,COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)CCNCc1c[nH]c2ccc(F)cc12,0.8784,COc1ccc(OC(=O)CCNCc2c[nH]c3ccc(F)cc23)c(NC2CNC2)c1,41,130
63,1,Reductive amination (ketone),COc1ccc(O)c(NC2CNC2)c1,1,COc1cccc(C(C)=O)c1,0.8703,COc1cccc(C(C)N(c2cc(OC)ccc2O)C2CNC2)c1,42,74
64,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,COc1ccccc1CNCC[C@H](N)C(=O)O,0.8461,COc1ccc(O)c(NC2CN(CC(N)CCNCc3ccccc3OC)C2)c1,43,139
65,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(CCl)c1ccc(N2CC(C(=O)O)C2)cc1F,0.8412,COc1ccc(O)c(N(CC2CN(c3ccc(C(=O)CCl)c(F)c3)C2)C2CNC2)c1,44,139
66,1,Urea formation (amine + amine),COc1ccc(O)c(NC2CNC2)c1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.8407,COc1ccc(O)c(N(C(=O)NCCN2CCN(c3cc(F)ccc3C(=O)CCl)CC2)C2CNC2)c1,45,126
67,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)C1CCN1c1ccnc(F)c1,0.8383,COc1ccc(O)c(NC2CN(CC3CCN3c3ccnc(F)c3)C2)c1,46,139
68,1,Esterification,COc1ccc(O)c(NC2CNC2)c1,1,N[C@H](CNCC(=O)O)c1ccccc1,0.8128,COc1ccc(OC(=O)CNCC(N)c2ccccc2)c(NC2CNC2)c1,47,130
69,1,Reductive amination (aldehyde),COc1ccc(O)c(NC2CNC2)c1,1,COc1cc(C(F)(F)F)ccc1C=O,0.807,COc1ccc(O)c(N(Cc2ccc(C(F)(F)F)cc2OC)C2CNC2)c1,48,70
70,1,Esterification,COc1ccc(O)c(NC2CNC2)c1,1,N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.7923,COc1ccc(OC(=O)C(N)Cc2ccc(O)cc2)c(NC2CNC2)c1,49,130
71,1,Reductive amination (aldehyde),COc1ccc(O)c(NC2CNC2)c1,1,O=Cc1ccccc1NCCC(=O)O,0.7909,COc1ccc(O)c(N(Cc2ccccc2NCCC(=O)O)C2CNC2)c1,50,70
72,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)[C@H]1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,0.7877,COc1ccc(O)c(NC2CN(CC3Cc4ccccc4C(c4c[nH]c5ccc(F)cc45)N3)C2)c1,51,139
73,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,C[C@@H](NCc1cccc(Br)c1)C(=O)O,0.7867,COc1ccc(O)c(NC2CN(CC(C)NCc3cccc(Br)c3)C2)c1,52,139
74,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,Cc1cc(N(C)CC(=O)O)cnc1F,0.7847,COc1ccc(O)c(N(CCN(C)c2cnc(F)c(C)c2)C2CNC2)c1,53,139
75,1,Reductive amination (aldehyde),COc1ccc(O)c(NC2CNC2)c1,1,O=Cc1c[nH]c2cc(Br)ccc12,0.7808,COc1ccc(O)c(NC2CN(Cc3c[nH]c4cc(Br)ccc34)C2)c1,54,70
76,1,Esterification,COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)[C@@H]1Cc2ccccc2CN1,0.7584,COc1ccc(OC(=O)C2Cc3ccccc3CN2)c(NC2CNC2)c1,55,130
77,1,Buchwald-Hartwig amination,COc1ccc(O)c(NC2CNC2)c1,1,C[C@@H](NCc1cccc(Br)c1)C(=O)O,0.7521,COc1ccc(O)c(N(c2cccc(CNC(C)C(=O)O)c2)C2CNC2)c1,56,114
78,1,Reductive amination (ketone),COc1ccc(O)c(NC2CNC2)c1,1,O=C1CCCNC1,0.7331,COc1ccc(O)c(NC2CN(C3CCCNC3)C2)c1,57,74
79,1,Buchwald-Hartwig amination,COc1ccc(O)c(NC2CNC2)c1,1,N#Cc1cc(N)cc(Br)c1,0.7051,COc1ccc(O)c(N(c2cc(N)cc(C#N)c2)C2CNC2)c1,58,114
80,1,Urea formation (amine + amine),COc1ccc(O)c(NC2CNC2)c1,1,Fc1ccc2[nH]cc(CNC3CCC3)c2c1,0.7034,COc1ccc(O)c(N(C(=O)N(Cc2c[nH]c3ccc(F)cc23)C2CCC2)C2CNC2)c1,59,129
81,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=C(CCl)c1ccc(N2CC(C(=O)O)C2)cc1F,0.6511,COc1ccc(O)c(NC2CN(CC3CN(c4ccc(C(=O)CCl)c(F)c4)C3)C2)c1,60,139
82,1,Esterification,COc1ccc(O)c(NC2CNC2)c1,1,C[C@@H](NCc1cccc(Br)c1)C(=O)O,0.6459,COc1ccc(OC(=O)C(C)NCc2cccc(Br)c2)c(NC2CNC2)c1,61,130
83,1,Esterification,COc1ccc(O)c(NC2CNC2)c1,1,O=C(O)C1CCN1c1ccnc(F)c1,0.6431,COc1ccc(OC(=O)C2CCN2c2ccnc(F)c2)c(NC2CNC2)c1,62,130
84,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,Cc1cc(N(C)CC(=O)O)cnc1F,0.6199,COc1ccc(O)c(NC2CN(CCN(C)c3cnc(F)c(C)c3)C2)c1,63,139
85,1,Esterification,COc1ccc(O)c(NC2CNC2)c1,1,Nc1ccc(C(=O)O)cc1Br,0.6164,COc1ccc(OC(=O)c2ccc(N)c(Br)c2)c(NC2CNC2)c1,64,130
86,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,O=Cc1ccccc1NCCC(=O)O,0.6118,COc1ccc(O)c(NC2CN(CCCNc3ccccc3C=O)C2)c1,65,139
87,1,Buchwald-Hartwig amination,COc1ccc(O)c(NC2CNC2)c1,1,O=Cc1c[nH]c2ccc(Br)cc12,0.5925,COc1ccc(O)c(N(c2ccc3[nH]cc(C=O)c3c2)C2CNC2)c1,66,114
88,1,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,1,Nc1ccc(C(=O)O)cc1Br,0.5867,COc1ccc(O)c(NC2CN(Cc3ccc(N)c(Br)c3)C2)c1,67,139
89,1,Amide coupling,COc1ccc(O)c(NC2CNC2)c1,1,COc1ccccc1CNCC[C@H](N)C(=O)O,0.5679,COc1ccc(O)c(N(C(=O)C(N)CCNCc2ccccc2OC)C2CNC2)c1,68,79
90,1,Buchwald-Hartwig amination,COc1ccc(O)c(NC2CNC2)c1,1,O=Cc1cc(C(F)(F)F)ccc1Br,0.56,COc1ccc(O)c(N(c2ccc(C(F)(F)F)cc2C=O)C2CNC2)c1,69,114
91,1,Reductive amination (ketone),COc1ccc(O)c(NC2CNC2)c1,1,O=C(CCl)c1ccc(Cl)c(Cl)c1,0.5276,COc1ccc(O)c(NC2CN(C(CCl)c3ccc(Cl)c(Cl)c3)C2)c1,70,74
92,1,Reductive amination (ketone),COc1ccc(O)c(NC2CNC2)c1,1,O=C1CCNC1,0.519,COc1ccc(O)c(N(C2CCNC2)C2CNC2)c1,71,74
93,1,Esterification,COc1ccc(O)c(NC2CNC2)c1,1,O=C(CCl)c1ccc(N2CC(C(=O)O)C2)cc1F,0.5112,COc1ccc(OC(=O)C2CN(c3ccc(C(=O)CCl)c(F)c3)C2)c(NC2CNC2)c1,72,130
94,1,Buchwald-Hartwig amination,COc1ccc(O)c(NC2CNC2)c1,1,Fc1cncc(Br)c1,0.51,COc1ccc(O)c(N(c2cncc(F)c2)C2CNC2)c1,73,114
95,1,Amide coupling,COc1ccc(O)c(NC2CNC2)c1,1,Nc1c(F)cccc1C(=O)O,0.5093,COc1ccc(O)c(N(C(=O)c2cccc(F)c2N)C2CNC2)c1,74,79
96,1,Esterification,COc1ccc(O)c(NC2CNC2)c1,1,NCCc1ccccc1N[C@@H](CO)C(=O)O,0.5,COc1ccc(OC(=O)C(CO)Nc2ccccc2CCN)c(NC2CNC2)c1,75,130
98,1,Buchwald-Hartwig amination,ClCC(Nc1cccc2cc[nH]c12)c1ccc(Br)cc1,2,NCCN1CCNCC1,0.9596,NCCN1CCN(c2ccc(C(CCl)Nc3cccc4cc[nH]c34)cc2)CC1,76,115
99,1,Urea formation (amine + amine),ClCC(Nc1cccc2cc[nH]c12)c1ccc(Br)cc1,1,NCCN1CCNCC1,0.9378,NCCN1CCN(C(=O)N(c2cccc3cc[nH]c23)C(CCl)c2ccc(Br)cc2)CC1,77,129
100,1,Williamson ether synthesis,ClCC(Nc1cccc2cc[nH]c12)c1ccc(Br)cc1,1,O[C@H]1CN2CCC1CC2,0.9128,Brc1ccc(C(COC2CN3CCC2CC3)Nc2cccc3cc[nH]c23)cc1,78,176
101,1,Direct acid -> amine (reductive),ClCC(Nc1cccc2cc[nH]c12)c1ccc(Br)cc1,1,O=C(O)C1CCNCC1,0.8636,ClCC(c1ccc(Br)cc1)N(CC1CCNCC1)c1cccc2cc[nH]c12,79,139
102,1,N-alkylation (azole N-H + alkyl halide),ClCC(Nc1cccc2cc[nH]c12)c1ccc(Br)cc1,1,CN1CCCC(CCl)C1,0.7915,CN1CCCC(Cn2ccc3cccc(NC(CCl)c4ccc(Br)cc4)c32)C1,80,200
103,1,N-alkylation (azole N-H + alkyl halide),ClCC(Nc1cccc2cc[nH]c12)c1ccc(Br)cc1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.6462,NCCN1CCN(c2cc(F)ccc2C(=O)Cn2ccc3cccc(NC(CCl)c4ccc(Br)cc4)c32)CC1,81,200
105,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,2,Brc1ccc2c(CNCc3ccccc3)c[nH]c2c1,0.9974,O=CCCN1CCCC1CN(Cc1ccccc1)Cc1c[nH]c2cc(Br)ccc12,82,138
106,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,NCCc1c[nH]c2ccc(O)cc12,0.997,O=CCCN1CCCC1CNCCc1c[nH]c2ccc(O)cc12,83,136
107,1,Amide coupling,O=CCCN1CCCC1C(=O)O,1,Nc1cc(Br)ccc1NCc1c[nH]c2ccc(F)cc12,0.9929,Nc1cc(Br)ccc1N(Cc1c[nH]c2ccc(F)cc12)C(=O)C1CCCN1CCC=O,84,78
108,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.9928,Nc1c(Br)cccc1N(Cc1c[nH]c2ccc(Br)cc12)CC1CCCN1CCC=O,85,138
109,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.9641,O=CCCN1CCCC1CNc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,86,136
110,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,COc1ccccc1CCN,0.9368,COc1ccccc1CCNCC1CCCN1CCC=O,87,136
111,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,Fc1ccc2[nH]cc(CNC3CCC3)c2c1,0.9308,O=CCCN1CCCC1CN(Cc1c[nH]c2ccc(F)cc12)C1CCC1,88,138
112,1,Amide coupling,O=CCCN1CCCC1C(=O)O,1,O=C(O)[C@H]1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,0.9284,O=CCCN1CCCC1C(=O)N1C(C(=O)O)Cc2ccccc2C1c1c[nH]c2ccc(F)cc12,89,78
113,1,Pictet-Spengler cyclisation,O=CCCN1CCCC1C(=O)O,1,NCCc1ccc(O)cc1,0.9158,O=CCCN1CCCC1C1=NCCc2ccc(O)cc21,90,153
114,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,NCc1cccc(O)c1,0.9122,O=CCCN1CCCC1CNCc1cccc(O)c1,91,136
115,1,Pictet-Spengler cyclisation,O=CCCN1CCCC1C(=O)O,1,NCCc1ccc(O)cc1,0.9085,O=C(O)C1CCCN1CCC1NCCc2ccc(O)cc21,92,145
116,1,Amide coupling,O=CCCN1CCCC1C(=O)O,1,Nc1cc(Br)ccc1NCc1c[nH]c2ccc(F)cc12,0.8622,O=CCCN1CCCC1C(=O)Nc1cc(Br)ccc1NCc1c[nH]c2ccc(F)cc12,93,76
117,1,Reductive amination (aldehyde),O=CCCN1CCCC1C(=O)O,1,NCCc1ccc(O)cc1,0.8505,O=C(O)C1CCCN1CCCNCCc1ccc(O)cc1,94,69
118,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.8134,O=CCCN1CCCC1CNC(Cc1ccc(O)cc1)C(=O)O,95,136
119,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,NCc1c[nH]c2ccccc12,0.7714,O=CCCN1CCCC1CNCc1c[nH]c2ccccc12,96,136
120,1,Pictet-Spengler cyclisation,O=CCCN1CCCC1C(=O)O,1,COc1ccccc1CCN,0.7712,COc1cccc2c1CCN=C2C1CCCN1CCC=O,97,153
121,1,Reductive amination (aldehyde),O=CCCN1CCCC1C(=O)O,1,Fc1ccc2[nH]cc(CNC3CCC3)c2c1,0.7609,O=C(O)C1CCCN1CCCN(Cc1c[nH]c2ccc(F)cc12)C1CCC1,98,71
122,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,N#Cc1ccc(O)c(N)c1,0.7432,N#Cc1ccc(O)c(NCC2CCCN2CCC=O)c1,99,136
123,1,Pictet-Spengler cyclisation,O=CCCN1CCCC1C(=O)O,1,NCCc1c[nH]c2ccc(O)cc12,0.724,O=CCCN1CCCC1C1=NCCc2c1[nH]c1ccc(O)cc21,100,149
124,1,Pictet-Spengler cyclisation,O=CCCN1CCCC1C(=O)O,1,COc1ccccc1CCN,0.6528,COc1cccc2c1CCNC2CCN1CCCC1C(=O)O,101,145
125,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,C[C@@H](N)c1ccccc1,0.6445,CC(NCC1CCCN1CCC=O)c1ccccc1,102,136
126,1,Amide coupling,O=CCCN1CCCC1C(=O)O,1,NCCc1c[nH]c2ccccc12,0.5401,O=CCCN1CCCC1C(=O)NCCc1c[nH]c2ccccc12,103,76
127,1,Direct acid -> amine (reductive),O=CCCN1CCCC1C(=O)O,1,Nc1cccc2cc[nH]c12,0.5335,O=CCCN1CCCC1CNc1cccc2cc[nH]c12,104,136
129,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,2,N#Cc1ccc2[nH]cc(CNc3ccc(Br)cc3)c2c1,0.997,CC(N)CN1CCCC(N(Cc2c[nH]c3ccc(C#N)cc23)c2ccc(Br)cc2)C1,105,75
130,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,1,O=C(O)[C@@H](NCc1c[nH]c2ccc(Br)cc12)c1ccccc1,0.9836,CC(N)CN1CCCC(N(Cc2c[nH]c3ccc(Br)cc23)C(C(=O)O)c2ccccc2)C1,106,75
131,1,Urea formation (amine + amine),CC(N)CN1CCCC(=O)C1,1,Nc1cc(Br)ccc1NCc1c[nH]c2ccc(F)cc12,0.9778,CC(CN1CCCC(=O)C1)NC(=O)N(Cc1c[nH]c2ccc(F)cc12)c1ccc(Br)cc1N,107,127
132,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,1,NCCc1ccc(O)cc1,0.912,CC(N)CN1CCCC(NCCc2ccc(O)cc2)C1,108,73
133,1,Direct acid -> amine (reductive),CC(N)CN1CCCC(=O)C1,1,O=C(O)CCNCc1c[nH]c2ccc(F)cc12,0.897,CC(CN1CCCC(=O)C1)NCCCNCc1c[nH]c2ccc(F)cc12,109,137
134,1,Amide coupling,CC(N)CN1CCCC(=O)C1,1,O=C(O)[C@H]1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,0.8894,CC(CN1CCCC(=O)C1)NC(=O)C1Cc2ccccc2C(c2c[nH]c3ccc(F)cc23)N1,110,77
135,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,1,NCCc1c[nH]c2ccccc12,0.8861,CC(N)CN1CCCC(NCCc2c[nH]c3ccccc23)C1,111,73
136,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.8854,CC(CN1CCCC(=O)C1)NC(CCl)c1ccc(F)cc1N1CCN(CCN)CC1,112,72
137,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,1,NCCN1CCN(c2cc(F)ccc2C(=O)CCl)CC1,0.8526,CC(N)CN1CCCC(NCCN2CCN(c3cc(F)ccc3C(=O)CCl)CC2)C1,113,73
138,1,Buchwald-Hartwig amination,CC(N)CN1CCCC(=O)C1,1,Brc1ccc2c(CNCc3ccccc3)c[nH]c2c1,0.8433,CC(CN1CCCC(=O)C1)Nc1ccc2c(CNCc3ccccc3)c[nH]c2c1,114,112
139,1,Reductive amination (ketone),CC(N)CN1CCCC(=O)C1,1,Nc1c(Br)cccc1NCc1c[nH]c2ccc(Br)cc12,0.836,CC(N)CN1CCCC(Nc2c(Br)cccc2NCc2c[nH]c3ccc(Br)cc23)C1,115,73
140,1,Direct acid -> amine (reductive),CC(N)CN1CCCC(=O)C1,1,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.8184,CC(CN1CCCC(=O)C1)NCC(N)Cc1c[nH]c2ccccc12,116,137
141,1,Amide coupling,CC(N)CN1CCCC(=O)C1,1,O=C(O)[C@@H](NCc1c[nH]c2ccc(Br)cc12)c1ccccc1,0.8115,CC(CN1CCCC(=O)C1)NC(=O)C(NCc1c[nH]c2ccc(Br)cc12)c1ccccc1,117,77
142,1,Reductive amination (aldehyde),CC(N)CN1CCCC(=O)C1,1,O=Cc1c[nH]c2cc(Br)ccc12,0.8045,CC(CN1CCCC(=O)C1)NCc1c[nH]c2cc(Br)ccc12,118,68
143,1,Direct acid -> amine (reductive),CC(N)CN1CCCC(=O)C1,1,Nc1ccc(C(=O)O)cc1Br,0.7422,CC(CN1CCCC(=O)C1)NCc1ccc(N)c(Br)c1,119,137
144,1,Urea formation (amine + amine),CC(N)CN1CCCC(=O)C1,1,NCCc1c[nH]c2ccc(O)cc12,0.7346,CC(CN1CCCC(=O)C1)NC(=O)NCCc1c[nH]c2ccc(O)cc12,120,125
145,1,Direct acid -> amine (reductive),CC(N)CN1CCCC(=O)C1,1,O=C(O)C1CCN1c1ccnc(F)c1,0.725,CC(CN1CCCC(=O)C1)NCC1CCN1c1ccnc(F)c1,121,137
